GENESIS-Tabelle: Temporär
Gestorbene: Deutschland, Jahre, Todesursachen, Geschlecht,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Todesursachenstatistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gestorbene (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht
;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen
;;unter 1 Jahr;1 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 Jahre und mehr;Alter unbekannt;unter 1 Jahr;1 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 Jahre und mehr;Alter unbekannt
1980;Bösartige Neubildungen (BN);17;364;261;302;371;459;892;2034;3153;5242;7117;7167;14987;19973;18511;10281;4839;-;18;240;150;172;263;470;1021;1992;2832;4688;7631;6957;13644;17104;17536;13397;8634;-
1981;Bösartige Neubildungen (BN);18;279;247;337;363;479;829;2026;3310;5481;7133;7807;13788;19258;18914;11213;5058;-;10;233;166;161;272;500;964;2063;2897;4717;7159;7608;12633;17216;17844;13841;9286;-
1982;Bösartige Neubildungen (BN);25;291;261;311;372;450;798;2085;3340;5715;7374;8858;12189;19051;18749;11632;5369;-;14;215;143;161;295;541;869;2093;3020;4507;7021;8741;11388;16964;18188;14410;9823;-
1983;Bösartige Neubildungen (BN);17;248;240;273;347;491;725;2091;3544;5845;7631;9890;10631;18596;19160;12516;5657;-;12;183;137;147;270;472;889;2008;3068;4348;6623;9649;10030;17269;18417;14950;10656;-
1984;Bösartige Neubildungen (BN);13;261;197;267;322;466;734;1888;3810;5806;8243;10564;9205;17973;18488;12546;6011;-;10;193;138;184;270;529;865;1956;3182;4231;6708;10301;8686;16715;18372;14799;10968;-
1985;Bösartige Neubildungen (BN);16;236;204;313;399;464;723;1913;3945;5892;8806;10587;9525;17264;18357;13302;6441;-;12;225;124;142;258;513;896;1864;3295;4184;6582;9983;8658;16508;18904;15403;11784;-
1986;Bösartige Neubildungen (BN);9;258;180;283;358;465;778;1684;4080;5963;9274;10577;10464;15829;17880;13116;6756;-;7;169;96;170;273;509;996;1664;3358;4362;6362;9659;9756;15485;18867;15820;12328;-
1987;Bösartige Neubildungen (BN);10;227;177;259;405;435;835;1638;4026;6356;9675;10768;11750;14305;17799;13704;7597;-;11;151;114;187;237;539;957;1594;3471;4437;6252;9496;11173;13884;19019;16508;13331;-
1988;Bösartige Neubildungen (BN);17;265;153;275;343;484;843;1521;4245;6701;9604;11600;13467;12165;17797;14148;8097;-;11;180;100;167;279;568;1000;1562;3415;4903;6164;9041;12391;12363;19069;17016;14094;-
1989;Bösartige Neubildungen (BN);12;240;129;246;357;503;813;1472;4074;6984;9452;12456;14512;11038;17494;14156;8654;-;15;177;104;163;277;561;1012;1534;3154;5013;6047;8997;13330;10825;19186;17551;14656;-
1990;Bösartige Neubildungen (BN);19;212;121;241;342;464;810;1499;3651;7241;9550;13057;14281;11198;17060;14078;9095;-;15;165;77;122;257;506;1057;1573;2976;5018;6109;8860;13117;10789;18295;17927;15366;-
1991;Bösartige Neubildungen (BN);11;245;124;216;354;478;824;1693;3287;7272;9767;13990;14468;12573;15949;14286;9675;-;12;202;86;147;299;557;1020;1632;2829;5350;6155;8864;12797;12423;17733;18776;16443;-
1992;Bösartige Neubildungen (BN);14;236;110;201;300;482;845;1696;3160;7511;10259;14219;14735;14165;14350;14323;10185;-;7;164;65;139;302;544;987;1758;2660;5211;6530;8559;12265;13777;16099;19184;17507;-
1993;Bösartige Neubildungen (BN);11;207;117;191;301;477;812;1685;3016;7390;10648;14071;15456;15799;12480;14548;10611;-;15;194;71;120;298;573;1015;1879;2670;5284;6737;8294;11900;15702;13851;19106;18219;-
1994;Bösartige Neubildungen (BN);8;225;99;152;267;502;834;1624;2943;6891;10920;13476;16577;16716;10900;14268;10864;-;13;163;60;113;253;566;968;1823;2580;4997;6969;8040;11666;16500;12207;18961;19246;-
1995;Bösartige Neubildungen (BN);12;213;94;158;291;439;795;1692;2964;6230;11344;13496;17413;16738;11457;13754;11244;-;12;163;69;99;246;541;1003;1819;2625;4687;7156;8227;11340;15965;12434;18534;19659;-
